Лицо со шрамом,Scarface,1983,10,04.04.10 18:36
Кокаин,Blow,2001,10,04.04.10 18:37
Донни Браско,Donnie Brasco,1997,10,04.04.10 18:37
Крестный отец 3,The Godfather: Part III,1990,10,04.04.10 18:37
Реквием по мечте,Requiem for a Dream,2000,8,04.04.10 18:38
Джонни Д.,Public Enemies,2009,10,04.04.10 18:38
Джеки Браун,Jackie Brown,1997,10,04.04.10 18:42
Пролетая над гнездом кукушки,One Flew Over the Cuckoo's Nest,1975,10,04.04.10 18:44
Побег из Алькатраса,Escape from Alcatraz,1979,9,04.04.10 18:44
Полуночный экспресс,Midnight Express,1978,10,04.04.10 18:44
Мотылек,Papillon,1973,10,04.04.10 18:44
Похороните меня за плинтусом,,2008,9,05.04.10 21:13
Феррари,Ferrari,2003,10,24.05.10 20:38
Обитель тьмы Гарта Маренги,Garth Marenghi's Darkplace,2004,10,27.05.10 12:40
Книжный магазин Блэка,Black Books,2000 – 2004,10,27.05.10 12:41
Амели,Le Fabuleux destin d'Amelie Poulain,2001,10,27.05.10 12:48
Тетро,Tetro,2009,10,27.05.10 12:48
Догвилль,Dogville,2003,10,27.05.10 12:48
Бойцовский клуб,Fight Club,1999,9,27.05.10 12:49
Шоу Трумана,The Truman Show,1998,9,27.05.10 12:49
Криминальное чтиво,Pulp Fiction,1994,9,27.05.10 12:49
Запах женщины,Scent of a Woman,1992,9,27.05.10 12:49
12 разгневанных мужчин,12 Angry Men,1957,9,27.05.10 12:50
Утомленные солнцем 2: Предстояние,,2010,9,27.05.10 12:50
Оружейный барон,Lord of War,2005,8,27.05.10 22:29
Поймай меня  если сможешь,Catch Me If You Can,2002,9,27.05.10 22:35
Жизнь как чудо,Life is a Miracle,2004,10,03.06.10 16:47
Проблеск гениальности,Flash of Genius,2008,8,19.06.10 9:21
Меня зовут Эрл,My Name Is Earl,2005 – 2009,10,07.07.10 17:46
Я люблю тебя  Филлип Моррис,I Love You Phillip Morris,2008,4,09.08.10 11:02
Одноклассники,Grown Ups,2010,8,13.08.10 12:37
Человек с бульвара КапуциноК,,2009,1,14.08.10 11:48
Апокалипсис сегодня,Apocalypse Now,1979,8,16.08.10 11:13
2001 год: Космическая одиссея,2001: A Space Odyssey,1968,8,16.08.10 11:13
Заводной апельсин,A Clockwork Orange,1971,8,16.08.10 11:13
Андрей Рублев,,1966,8,16.08.10 11:13
Однажды в Америке,Once Upon a Time in America,1983,9,16.08.10 11:13
Красота по-американски,American Beauty,1999,8,16.08.10 11:13
Молчание ягнят,The Silence of the Lambs,1990,8,16.08.10 11:13
Карты  деньги  два ствола,Lock  Stock and Two Smoking Barrels,1998,9,16.08.10 11:13
Бешеные псы,Reservoir Dogs,1991,9,16.08.10 11:13
Летят журавли,,1957,9,16.08.10 11:13
Большой куш,Snatch.,2000,9,16.08.10 11:14
Сука-любовь,Amores perros,2000,9,16.08.10 11:14
Назад в будущее,Back to the Future,1985,9,16.08.10 11:14
Престиж,The Prestige,2006,8,16.08.10 11:14
Гран Торино,Gran Torino,2008,9,16.08.10 11:14
Как я провёл этим летом,,2010,8,16.08.10 13:12
Остров,,2006,10,16.08.10 13:12
Терминал,The Terminal,2004,8,18.08.10 16:25
Блондинка в шоколаде,Pledge This!,2006,1,19.08.10 23:29
Доктор Кто,Doctor Who,2005 – ...,9,20.08.10 21:23
Эффект бабочки,The Butterfly Effect,2003,8,22.08.10 1:29
Гонзо: Страх и ненависть Хантера С. Томпсона,Gonzo: The Life and Work of Dr. Hunter S. Thompson,2008,10,28.08.10 23:24
На Дерибасовской хорошая погода  или На Брайтон Бич опять идут дожди,,1992,7,20.09.10 14:02
Цветок дьявола,,2010,1,03.10.10 15:12
Москва  я люблю тебя!,,2009,1,07.10.10 9:52
Выход через сувенирную лавку,Exit Through the Gift Shop,2010,9,07.10.10 11:19
Темный мир в 3D,,2010,1,16.10.10 13:34
Нью-Йорк  я люблю тебя,New York  I Love You,2008,7,30.10.10 0:21
Темный рыцарь,The Dark Knight,2008,8,30.10.10 11:19
Стоун,Stone,2010,5,04.11.10 17:30
Неудержимые,The Expendables,2010,6,04.11.10 21:23
Игры разума,A Beautiful Mind,2001,8,04.11.10 21:32
Пианист,The Pianist,2002,9,04.11.10 21:32
Назад в будущее 2,Back to the Future Part II,1989,8,04.11.10 21:33
Овсянки,,2010,8,21.11.10 15:04
Мальчики-налетчики,Takers,2010,7,18.12.10 22:43
Возвращение,,2003,10,21.12.10 22:41
Гуд бай  Ленин!,Good Bye Lenin!,2003,10,21.12.10 22:41
Мачете,Machete,2010,9,21.12.10 22:41
Обитель зла 4: Жизнь после смерти 3D,Resident Evil: Afterlife,2010,6,21.12.10 22:41
Отец Тед,Father Ted,1995 – 1998,10,21.12.10 22:41
Сутенер,Le mac,2009,4,28.12.10 17:46
Жизнь других,Das Leben der Anderen,2006,10,31.12.10 19:31
Пятая печать,Az otodik pecset,1976,10,01.01.11 3:06
Доктор Тырса,,2010,1,08.01.11 19:46
Фонтан,The Fountain,2006,8,27.01.11 16:21
Танцующая в темноте,Dancer in the Dark,2000,10,28.01.11 15:21
Пираты Карибского моря: Проклятие Черной жемчужины,Pirates of the Caribbean: The Curse of the Black Pearl,2003,7,28.01.11 16:53
Начало,Inception,2010,8,28.01.11 16:55
Спящие,Sleepers,1996,8,28.01.11 16:55
Колокол Чернобыля,,1987,7,28.01.11 16:55
Марадона: Рука Бога,Maradona  la mano di Dio,2007,7,28.01.11 16:56
Пророк,Un prophete,2009,7,28.01.11 16:56
Иван Васильевич меняет профессию,,1973,8,28.01.11 16:59
Операция «Ы» и другие приключения Шурика,,1965,8,28.01.11 16:59
Гладиатор,Gladiator,2000,7,28.01.11 16:59
Терминатор 2: Судный день,Terminator 2: Judgment Day,1991,6,28.01.11 16:59
Бриллиантовая рука,,1968,7,28.01.11 16:59
Джентльмены удачи,,1971,8,28.01.11 16:59
Хороший  плохой  злой,Il buono  il brutto  il cattivo,1966,7,28.01.11 16:59
Кавказская пленница  или Новые приключения Шурика,,1966,6,28.01.11 16:59
Матрица,The Matrix,1999,8,28.01.11 16:59
Самый лучший фильм 3-ДЭ,,2011,1,28.01.11 17:04
Коко до Шанель,Coco avant Chanel,2009,8,06.02.11 11:04
Скотт Пилигрим против всех,Scott Pilgrim vs. the World,2010,2,06.02.11 21:05
